female,memberships,age,protestant,post_weights,region
1,4,1.9,0,1.4495012,326
1,3,0.3,0,1.0593923,326
0,0,-1,0,1.5490514,326
0,1,0.8,0,2.8367457,326
1,1,1.6,0,1.0589412,326
1,1,0.5,0,0.6728136,331
1,0,-0.1,0,1.0538499,331
1,1,1.1,0,1.659361,326
0,6,0.2,0,1.2321565,331
0,0,-1,1,1.3112653,331
1,2,1.6,0,1.0087563,331
1,0,1.8,0,1.0087563,331
0,1,-0.5,0,0.9272369,331
1,4,2.2,1,1.0087563,331
1,0,0.6,1,0.6728136,331
1,4,2.5,1,1.3808069,331
1,2,-0.2,1,0.81744957,332
1,1,0.9,0,1.0538499,332
0,3,2.4,0,1.5560929,331
1,0,-0.9,0,1.228563,331
1,2,2.5,1,0.690333,331
0,1,1.1,0,0.6160154,332
0,1,2.2,0,0.6264067,332
0,4,1.8,0,0.6264067,332
0,1,-0.2,0,0.67550796,332
0,0,1.3,1,0.67550796,332
0,4,2.2,0,1.5560929,332
1,0,0.4,0,0.4086831,332
0,0,1.8,0,0.4045991,332
1,2,1.2,0,1.5807211,332
1,1,1.7,0,0.9563656,332
1,0,1.4,0,1.009186,332
1,3,-1,0,1.0987877,332
0,1,-1.3,0,1.3583106,332
0,4,0.4,0,1.3908081,333
1,1,-1,0,1.228563,333
0,1,-1.3,0,0.67908597,331
1,2,-1.2,0,1.1245033,331
1,1,0.4,0,0.81744957,331
0,0,1,0,2.0266619,331
1,0,-1.2,0,0.5493378,331
0,3,1.1,0,1.2321565,331
1,0,-0.7,0,0.5493378,331
1,0,2.4,1,0.690333,331
0,2,0.1,0,0.9272369,331
0,1,-0.4,0,1.2321565,331
1,0,-0.7,0,1.228563,331
1,1,-1.3,0,1.1245033,331
0,3,1.6,1,0.6264067,331
0,1,0.2,0,1.2321565,331
1,0,-0.2,0,0.81744957,331
0,4,0.2,0,0.6160154,331
1,1,-0.9,0,1.8427818,331
0,1,1.4,1,1.3511539,331
0,2,-1.2,0,0.7377444,331
0,4,-0.3,0,0.9272369,331
1,0,-0.5,1,1.0538499,331
0,2,-0.3,0,1.3511539,334
1,1,0.2,1,0.5268712,334
0,1,-0.7,0,2.0373964,334
1,0,1.4,0,1.009186,334
1,0,-1.1,0,1.0987877,334
1,0,1.1,0,0.6728136,334
1,0,1.3,0,0.4086831,334
0,0,-0.1,0,1.2321565,334
0,0,2,0,1.5560929,334
0,1,0.6,0,1.3511539,334
0,0,-0.4,0,1.2321565,334
1,1,0.1,0,0.81744957,332
1,0,-1,0,1.1245033,332
0,4,-1,1,1.3583106,332
0,1,-1.3,0,0.6555658,332
0,2,-1.3,0,0.67908597,332
0,5,0.8,0,0.6160154,332
1,0,-0.1,0,0.6728136,332
1,4,-0.8,0,1.1245033,332
1,3,-1.2,0,1.1245033,332
0,1,2,0,0.3131714,332
1,3,-1.2,0,0.5621943,332
1,1,-0.3,0,1.0538499,332
0,2,-0.5,0,1.3511539,332
0,0,0.2,0,1.3908081,332
1,0,-0.9,,0.6142188,332
0,0,-0.6,,1.3112653,332
1,1,-0.6,0,0.5493378,332
0,0,1.8,0,0.77796704,332
1,0,-0.8,0,1.228563,332
1,0,2.4,0,1.0087563,332
0,0,2,0,2.33406,332
1,0,2,0,0.690333,332
0,0,2.1,0,1.5560929,332
1,1,0,1,1.0538499,332
1,1,-0.1,0,1.0538499,332
0,2,1.6,0,1.2138798,332
0,2,-1.4,0,0.7377444,332
1,3,0.1,0,1.2261326,332
0,2,-0.3,0,1.3511539,332
1,4,1.4,0,0.4086831,332
0,0,-0.8,,1.3583106,332
0,1,-0.7,0,0.7377444,332
1,0,0.3,0,0.5268712,332
0,0,2.4,0,0.77796704,332
0,2,-0.5,0,0.6160154,332
1,0,2.5,0,0.690333,332
1,2,1,0,0.4086831,332
0,1,2.4,1,0.6264067,332
0,2,-0.7,0,1.3112653,332
1,1,1.3,0,1.009186,332
1,0,-0.8,0,1.0987877,332
0,4,0.4,0,0.6160154,332
0,2,0,0,1.2321565,332
0,2,-0.6,0,1.3583106,333
1,4,-0.1,0,0.81744957,333
1,1,0.2,0,0.4086831,333
1,0,1.1,0,0.6728136,333
0,0,0.8,1,0.67550796,333
0,2,1.1,0,1.2321565,333
1,1,-0.8,0,1.1245033,333
1,6,0.3,0,0.81744957,333
0,0,0.8,0,2.7023077,333
0,0,-0.6,0,1.4756393,333
0,2,-0.8,0,0.7377444,333
0,2,-0.1,0,1.3511539,332
1,2,-1.3,1,0.5621943,333
0,4,1.2,0,1.848172,332
0,0,0.8,0,2.0266619,335
0,3,-0.2,0,1.2321565,335
0,4,1.3,0,2.464313,335
1,1,-0.8,0,1.0987877,335
0,0,0,0,1.3511539,335
0,0,0.3,0,1.3511539,335
0,1,-0.4,0,0.9272369,333
1,1,1.5,0,0.690333,333
1,2,-0.8,1,1.228563,333
1,1,-0.9,0,1.0987877,333
1,1,1.6,0,1.0087563,333
0,0,0.1,0,1.2321565,333
1,1,2.2,0,0.47813398,333
0,3,0.9,1,1.3908081,333
1,2,2,0,1.3808069,332
1,0,0.4,0,1.0538499,332
0,1,0.2,1,1.3511539,332
1,1,0.4,0,1.0538499,332
1,1,-1.3,0,1.0987877,332
1,0,0,0,1.009186,332
1,1,2.5,0,1.0087563,332
1,0,2.5,0,1.0087563,332
0,0,-0.3,0,1.3511539,334
0,2,-1,1,1.4756393,334
0,0,0.4,0,0.67550796,334
0,1,1.5,0,0.6264067,334
1,1,0,1,1.009186,334
1,0,1.2,0,0.6728136,334
1,4,1.6,1,1.513083,334
1,3,-0.3,0,0.81744957,334
1,1,0.4,1,0.81744957,334
0,0,0.4,0,1.3511539,334
0,1,1.6,0,0.6264067,334
1,2,-0.1,1,0.81744957,334
0,2,0.3,1,1.2321565,334
0,0,-0.4,0,1.3511539,334
1,1,-0.6,0,1.228563,334
0,1,1,0,1.848172,334
0,1,0.4,0,0.9272369,334
1,1,1.1,0,1.009186,335
0,0,-1.4,0,1.3112653,335
1,2,1.2,0,0.81744957,335
1,2,0.5,0,0.4086831,335
0,1,2.2,0,0.80928075,335
1,0,0,0,0.33637246,335
1,0,1.6,0,0.50432664,335
0,3,0.2,0,1.3511539,335
1,1,-1,0,1.228563,335
1,3,-0.5,0,1.0538499,335
0,1,0.6,0,1.2321565,335
1,0,2.3,0,0.9563656,335
1,3,-1.2,1,1.0987877,335
1,0,-0.7,0,1.0987877,335
1,2,1.6,1,1.0087563,335
1,0,-0.8,0,1.1245033,335
1,3,0.9,0,0.81744957,335
1,2,2.4,0,0.690333,335
1,1,0,0,1.0538499,335
1,2,-1,1,1.0987877,336
1,1,0.6,0,1.009186,336
0,2,0.4,1,2.318045,336
1,0,1.8,0,1.0087563,336
0,3,-1.1,1,2.7166212,335
0,0,2.5,1,1.2138798,335
1,1,-0.3,0,1.0538499,335
0,0,1.5,0,1.5560929,335
1,2,0.7,0,1.009186,335
1,2,-0.8,0,1.1245033,335
1,0,1.3,0,1.0538499,335
0,1,-1,0,1.4756393,335
1,0,1.2,0,1.009186,335
1,0,1.9,0,0.50432664,335
1,1,-1.2,0,1.1245033,335
1,0,1.9,0,0.50432664,335
1,2,0.5,0,0.4086831,335
1,1,-1.2,0,1.1245033,335
0,1,1,0,1.2321565,335
1,0,0.2,0,0.4086831,335
1,0,1.9,0,0.690333,335
0,2,1.3,0,1.2321565,335
1,2,-0.2,0,0.81744957,335
1,0,-0.3,0,0.6728136,335
0,1,-0.1,0,0.6160154,335
1,0,0,0,0.81744957,335
1,0,2.3,1,0.9563656,335
0,3,1,0,1.3511539,335
0,4,1.1,0,1.2321565,335
1,0,0.7,0,1.009186,335
1,0,1.7,0,0.47813398,335
0,7,1.8,0,0.9395781,335
1,1,0,0,0.81744957,335
1,1,-1.1,0,1.0987877,335
1,3,0.1,0,1.009186,335
1,0,0.2,0,0.81744957,335
1,0,-0.2,0,0.5268712,335
1,0,1.1,0,0.6728136,335
0,0,0.3,0,1.3511539,335
0,2,0.3,0,1.2321565,335
1,1,1.4,1,0.4086831,335
1,1,1.9,0,0.50432664,335
0,1,1.4,0,0.9272369,335
1,0,0.5,0,0.6728136,335
0,2,1.2,0,1.3511539,335
0,0,-1,1,0.67908597,335
0,1,0,0,1.3511539,335
1,0,-0.9,0,1.0987877,335
1,1,-0.8,0,0.5493378,335
0,1,-0.4,0,0.6160154,335
0,1,1,1,0.6160154,335
1,1,-1.3,0,0.5621943,335
0,0,0.2,0,0.9272369,335
0,0,-1,,1.4756393,335
0,1,0,,1.3908081,335
0,1,1.3,0,0.46357116,335
1,1,1.1,,0.6728136,335
0,1,0,0,0.9272369,335
1,1,-0.6,0,1.0987877,335
0,0,1.6,0,1.5560929,335
0,0,1.6,0,0.80928075,335
1,4,0.8,0,0.6728136,335
0,2,-1.5,0,3.689023,335
1,0,2.3,0,1.0087563,335
0,0,0.2,0,0.9272369,335
1,2,-0.3,0,0.5268712,335
1,2,1.9,1,0.50432664,335
1,0,2.1,1,1.0087563,335
1,0,1.7,0,0.690333,335
1,1,-1.5,1,1.0987877,335
1,0,-0.5,0,0.33637246,335
1,0,-1,0,0.6142188,335
1,2,-1,1,1.0987877,335
0,2,1.6,1,0.80928075,335
0,0,-1,0,1.3112653,335
0,0,2.5,0,1.5560929,335
0,2,-0.4,0,0.46357116,335
0,0,1.5,0,0.9395781,335
1,1,0.7,0,1.009186,335
1,0,-0.2,0,0.33637246,335
1,0,-0.7,0,1.0987877,335
1,1,0.4,0,2.634571,335
1,1,-0.7,0,1.0987877,335
1,0,-0.7,0,1.0987877,335
0,1,-0.4,0,0.46357116,335
1,1,0.1,0,0.81744957,335
1,0,-0.6,0,0.5493378,335
0,2,2.5,0,0.3131714,335
1,0,1.9,0,1.0087563,335
0,0,0.2,0,1.2321565,335
1,0,1.4,0,1.0538499,335
0,5,1,0,1.2321565,335
1,0,0.6,0,0.4086831,335
1,0,-0.5,0,0.6728136,335
1,3,0.4,0,1.009186,335
1,1,0.3,0,1.0538499,335
1,1,1.7,0,0.690333,335
1,1,2.5,0,0.690333,335
1,1,1.4,0,1.009186,335
1,0,1.6,0,1.0087563,335
0,4,0.7,0,0.9272369,335
1,2,2.3,0,0.690333,335
0,2,-1.4,1,1.4756393,335
0,0,0.3,1,1.3511539,335
0,1,-0.7,0,1.3112653,335
1,1,1.4,0,1.5807211,335
1,0,1,0,0.6728136,335
0,0,1.5,1,0.80928075,335
0,0,2,1,1.5560929,335
1,0,0.9,1,1.3456272,335
1,1,0.6,0,1.5807211,335
1,2,0.3,0,1.5807211,335
1,1,-0.6,0,1.0987877,335
1,0,-1.2,0,0.5493378,335
1,2,-1.2,1,1.1245033,335
1,0,-0.7,0,1.228563,336
1,1,0,1,0.6728136,335
1,0,1.9,0,0.690333,336
1,0,-0.1,,1.009186,336
1,1,0.9,0,1.5807211,336
1,2,2.3,0,0.9563656,336
0,2,2.2,1,2.33406,336
1,0,0.9,0,0.6728136,336
1,2,2.2,0,0.50432664,336
1,1,0.3,0,0.81744957,336
1,4,0.8,0,2.1076999,336
1,1,-0.6,0,1.228563,336
1,1,-0.5,0,0.6728136,336
0,0,0.7,0,0.46357116,336
